phase,split_id,protocol_mode,candidate_id,target,source_target,feature_view,model_family,model_name,is_ceiling_model,source_label_rows,target_label_rows,target_eval_rows,target_unlabeled_rows,used_unlabeled_paired,mae,rmse,r2,bias,calibration_slope,calibration_intercept
model_selection,1,inductive,inductive|dummy|paired_mean|none,fpos,fpos,none,dummy,paired_mean,False,0,90,57,0,False,0.1818515084689538,0.232183676783823,-0.007780344739900524,0.020400845302090666,0.0,0.19939657722028065
model_selection,1,inductive,inductive|ceiling|recording_oracle_mean|ceiling,fpos,fpos,ceiling,ceiling,recording_oracle_mean,True,0,0,57,0,False,0.10641344928445674,0.14983653962275476,0.5803009513408497,7.182363865447834e-18,0.9999999999999998,0.0
model_selection,1,inductive,inductive|paired_only|lightgbm|shape_only,fpos,fpos,shape_only,paired_only,lightgbm,False,0,90,57,0,False,0.12143811190701735,0.16437186628730102,0.49492312157729956,0.004365798730371558,0.9102949161841339,0.01391272228280174
model_selection,1,inductive,inductive|paired_only|catboost|shape_only,fpos,fpos,shape_only,paired_only,catboost,False,0,90,57,0,False,0.14373729933257162,0.18805756752434163,0.33887414152051454,0.0311398495908403,0.7411619374113282,0.02853175248106536
model_selection,1,inductive,inductive|paired_only|xgboost|shape_only,fpos,fpos,shape_only,paired_only,xgboost,False,0,90,57,0,False,0.13415470618351188,0.17786617356963572,0.40858921549580607,-0.0019303346987837396,0.836133351862329,0.03428846598112185
model_selection,1,inductive,inductive|paired_only|lightgbm|unit_raw,fpos,fpos,unit_raw,paired_only,lightgbm,False,0,90,57,0,False,0.15642858857341713,0.21265061523686468,0.15465146879399594,0.04929357647370555,0.6257086506933442,0.043788996711696185
model_selection,1,inductive,inductive|paired_only|catboost|unit_raw,fpos,fpos,unit_raw,paired_only,catboost,False,0,90,57,0,False,0.14996797782948396,0.19450784277845515,0.2927438218906244,0.05170396190588392,0.7634453089792983,0.007695048542237466
model_selection,1,inductive,inductive|paired_only|xgboost|unit_raw,fpos,fpos,unit_raw,paired_only,xgboost,False,0,90,57,0,False,0.14102150291052612,0.18586506604203618,0.354199977199116,0.029682065440208877,0.7882561863299121,0.01882391998709042
model_selection,1,inductive,inductive|hybrid_only|lightgbm|shape_only,fpos,fpos,shape_only,hybrid_only,lightgbm,False,24211,90,57,0,False,0.6167646632437959,0.6728969084227194,-7.464466319703822,0.6005243725722262,0.036290962147800004,0.1703666763101286
model_selection,1,inductive,inductive|hybrid_only|catboost|shape_only,fpos,fpos,shape_only,hybrid_only,catboost,False,24211,90,57,0,False,0.5736420494818919,0.6432188975493335,-6.734283837191772,0.5704220095321495,0.20238593086721668,0.04359612594150478
model_selection,1,inductive,inductive|hybrid_only|xgboost|shape_only,fpos,fpos,shape_only,hybrid_only,xgboost,False,24211,90,57,0,False,0.7056130614682993,0.7510609010424323,-9.545151491434634,0.6972338388699202,-0.14672711491539875,0.3309565713185894
model_selection,1,inductive,inductive|hybrid_only|lightgbm|unit_raw,fpos,fpos,unit_raw,hybrid_only,lightgbm,False,24211,90,57,0,False,0.27289409931990066,0.37504009471845107,-1.6294076049146713,0.1971570633498528,0.28527673679817006,0.0862690486729985
model_selection,1,inductive,inductive|hybrid_only|catboost|unit_raw,fpos,fpos,unit_raw,hybrid_only,catboost,False,24211,90,57,0,False,0.28946513320872774,0.41337348884499575,-2.1943886632561376,0.19592108060513516,0.223773462466034,0.1109349761547244
model_selection,1,inductive,inductive|hybrid_only|xgboost|unit_raw,fpos,fpos,unit_raw,hybrid_only,xgboost,False,24211,90,57,0,False,0.34398323484348875,0.46091443582949665,-2.971395470808281,0.2606132216036566,0.18789452235212126,0.11296325579296157
model_selection,1,inductive,inductive|hybrid_calibrated|lightgbm+linear|unit_raw,fpos,fpos,unit_raw,hybrid_calibrated,lightgbm+linear,False,24211,90,57,0,False,0.16088671125374224,0.21519703945618843,0.13428468621248213,0.025729323921361905,0.7257982096515643,0.03600060122548149
model_selection,1,inductive,inductive|hybrid_calibrated|lightgbm+isotonic|unit_raw,fpos,fpos,unit_raw,hybrid_calibrated,lightgbm+isotonic,False,24211,90,57,0,False,0.18367915695586973,0.23362818962433338,-0.020359007391204997,0.027568105662251915,0.4941196613523099,0.08724886497542929
model_selection,1,inductive,inductive|hybrid_calibrated|catboost+linear|unit_raw,fpos,fpos,unit_raw,hybrid_calibrated,catboost+linear,False,24211,90,57,0,False,0.18287592620107426,0.22046714132415143,0.09136333554587328,0.04763628466695875,1.024286450287973,-0.0536358359866789
model_selection,1,inductive,inductive|hybrid_calibrated|catboost+isotonic|unit_raw,fpos,fpos,unit_raw,hybrid_calibrated,catboost+isotonic,False,24211,90,57,0,False,0.17558617100645374,0.2184143977605192,0.10820498127897693,0.03614793028298035,0.7224246051282109,0.029233429397118413
model_selection,1,inductive,inductive|hybrid_calibrated|xgboost+linear|unit_raw,fpos,fpos,unit_raw,hybrid_calibrated,xgboost+linear,False,24211,90,57,0,False,0.17873411166249706,0.22527061795394304,0.05133775655412276,0.0415967554011719,0.7346035585171381,0.02236201749765725
model_selection,1,inductive,inductive|hybrid_calibrated|xgboost+isotonic|unit_raw,fpos,fpos,unit_raw,hybrid_calibrated,xgboost+isotonic,False,24211,90,57,0,False,0.18641111672072294,0.23331404918578494,-0.017616868033135225,0.02846280362174113,0.4961811535170249,0.0863370467944112
model_selection,1,inductive,inductive|hybrid_stack|lightgbm_residual|unit_raw,fpos,fpos,unit_raw,hybrid_stack,lightgbm_residual,False,24211,90,57,0,False,0.16415218493585015,0.21027071002404152,0.17346722858291141,0.06019756923943672,0.644032545864594,0.032209498184282453
