phase,split_id,protocol_mode,candidate_id,target,source_target,feature_view,model_family,model_name,is_ceiling_model,source_label_rows,target_label_rows,target_eval_rows,target_unlabeled_rows,used_unlabeled_paired,mae,rmse,r2,bias,calibration_slope,calibration_intercept
model_selection,1,inductive,inductive|paired_only|lightgbm|unit_raw,fpos,fpos,unit_raw,paired_only,lightgbm,False,0,61,46,0,False,0.1273855504165451,0.1845338134469578,0.24470110945343448,-0.027286830370798286,0.7575396019677811,0.06740682051312986
model_selection,1,inductive,inductive|paired_only|xgboost|unit_raw,fpos,fpos,unit_raw,paired_only,xgboost,False,0,61,46,0,False,0.1573274559929556,0.23155349296257646,-0.18924026983359177,-0.05888021762934569,0.25859620497974484,0.15813705455751287
model_selection,1,inductive,inductive|hybrid_plus_paired|lightgbm_w25|unit_raw,fpos,fpos,unit_raw,hybrid_plus_paired,lightgbm_w25,False,24211,61,46,0,False,0.2160198352433121,0.32882307368097496,-1.3982337068696706,0.046510882465312674,0.1494833427886778,0.15699053164942103
model_selection,1,inductive,inductive|hybrid_plus_paired|xgboost_w25|unit_raw,fpos,fpos,unit_raw,hybrid_plus_paired,xgboost_w25,False,24211,61,46,0,False,0.23637106993038604,0.3472615647188622,-1.6747325880034127,0.06863837260513944,0.10767848398828479,0.16461044174560283
model_selection,2,inductive,inductive|paired_only|lightgbm|unit_raw,fpos,fpos,unit_raw,paired_only,lightgbm,False,0,70,37,0,False,0.1752274691679473,0.22481933247673275,0.32925375500607734,-0.028608999383332796,1.1637710923087692,-0.007853589214346724
model_selection,2,inductive,inductive|paired_only|xgboost|unit_raw,fpos,fpos,unit_raw,paired_only,xgboost,False,0,70,37,0,False,0.18958602472634667,0.23970170857528644,0.23751166951725122,0.0939610743706028,0.7975649994928506,-0.0240777404036604
model_selection,2,inductive,inductive|hybrid_plus_paired|lightgbm_w25|unit_raw,fpos,fpos,unit_raw,hybrid_plus_paired,lightgbm_w25,False,24211,70,37,0,False,0.1734083233886966,0.2146868161701654,0.38835181282671793,0.0013230312839012757,1.0593381652646285,-0.016310406896136984
model_selection,2,inductive,inductive|hybrid_plus_paired|xgboost_w25|unit_raw,fpos,fpos,unit_raw,hybrid_plus_paired,xgboost_w25,False,24211,70,37,0,False,0.18936326304504514,0.23940199987453195,0.23941721722155618,0.019052231974780107,0.7920801496198989,0.03714951196518848
model_selection,3,inductive,inductive|paired_only|lightgbm|unit_raw,fpos,fpos,unit_raw,paired_only,lightgbm,False,0,53,54,0,False,0.18758576429220383,0.251394329560887,-0.5055380188505942,0.08781107270857758,0.35780807291616745,0.09009988844905926
model_selection,3,inductive,inductive|paired_only|xgboost|unit_raw,fpos,fpos,unit_raw,paired_only,xgboost,False,0,53,54,0,False,0.1693639038841414,0.20170952922405808,0.030754923567231085,0.08936194509915561,0.592107552088303,0.024271967155788342
model_selection,3,inductive,inductive|hybrid_plus_paired|lightgbm_w25|unit_raw,fpos,fpos,unit_raw,hybrid_plus_paired,lightgbm_w25,False,24211,53,54,0,False,0.19552207151801465,0.2986755955470886,-1.1251042932403719,0.10871572144699077,0.32433278965453566,0.09259371934573798
model_selection,3,inductive,inductive|hybrid_plus_paired|xgboost_w25|unit_raw,fpos,fpos,unit_raw,hybrid_plus_paired,xgboost_w25,False,24211,53,54,0,False,0.20824602274841442,0.31383698655923714,-1.3463296146116974,0.12592146971871077,0.27618491892980623,0.10218700985928185
model_selection,4,inductive,inductive|paired_only|lightgbm|unit_raw,fpos,fpos,unit_raw,paired_only,lightgbm,False,0,63,44,0,False,0.22141283566998646,0.2981940842307651,-0.4046306425948798,-0.029086600469289403,0.2522113195899063,0.1980805725513609
model_selection,4,inductive,inductive|paired_only|xgboost|unit_raw,fpos,fpos,unit_raw,paired_only,xgboost,False,0,63,44,0,False,0.19575511937094106,0.24916973465871908,0.019258232771001027,-0.0041973173856941276,0.5159081572142812,0.12564671399371316
model_selection,4,inductive,inductive|hybrid_plus_paired|lightgbm_w25|unit_raw,fpos,fpos,unit_raw,hybrid_plus_paired,lightgbm_w25,False,24211,63,44,0,False,0.19394248846263376,0.2477350583175691,0.030519602416750224,-0.0172461845408239,0.5272365951920656,0.12968446558210706
model_selection,4,inductive,inductive|hybrid_plus_paired|xgboost_w25|unit_raw,fpos,fpos,unit_raw,hybrid_plus_paired,xgboost_w25,False,24211,63,44,0,False,0.2787794574697578,0.3561669808536288,-1.0038785730482256,0.0479360378500215,0.12325620040290719,0.21772983054394068
model_selection,5,inductive,inductive|paired_only|lightgbm|unit_raw,fpos,fpos,unit_raw,paired_only,lightgbm,False,0,63,44,0,False,0.11821347171199609,0.1598265248985297,0.5516348888571774,0.022055731491713044,0.9403476887775232,-0.008925712889834906
model_selection,5,inductive,inductive|paired_only|xgboost|unit_raw,fpos,fpos,unit_raw,paired_only,xgboost,False,0,63,44,0,False,0.09623887609298368,0.14454069828926186,0.6332970574961303,-0.04164072466193414,1.0751681107219442,0.029883479127883417
model_selection,5,inductive,inductive|hybrid_plus_paired|lightgbm_w25|unit_raw,fpos,fpos,unit_raw,hybrid_plus_paired,lightgbm_w25,False,24211,63,44,0,False,0.07914366065501742,0.12192917215499449,0.7390547786294233,-0.0033355259569921606,0.9694818544422072,0.009277954475525178
model_selection,5,inductive,inductive|hybrid_plus_paired|xgboost_w25|unit_raw,fpos,fpos,unit_raw,hybrid_plus_paired,xgboost_w25,False,24211,63,44,0,False,0.09793824987504939,0.1518910387751196,0.5950527982104119,0.029644097858710375,0.7573439059294722,0.025608088362919786
