iter	Passed	Remaining
0	3	3186
1	4	2225
2	5	1951
3	7	1794
4	9	1921
5	11	1839
6	12	1766
7	13	1701
8	14	1644
9	16	1598
10	17	1559
11	18	1526
12	19	1497
13	21	1533
14	24	1590
15	25	1565
16	26	1542
17	27	1520
18	29	1511
19	30	1501
20	32	1519
21	33	1501
22	35	1486
23	36	1475
24	37	1468
25	38	1459
26	40	1458
27	41	1450
28	43	1445
29	44	1440
30	46	1438
31	47	1430
32	48	1422
33	49	1414
34	51	1407
35	52	1400
36	53	1392
37	54	1386
38	55	1379
39	57	1371
40	58	1364
41	59	1357
42	60	1353
43	62	1347
44	63	1343
45	64	1338
46	65	1335
47	67	1330
48	68	1326
49	70	1336
50	71	1331
51	72	1327
52	74	1324
53	75	1321
54	76	1317
55	77	1314
56	79	1310
57	80	1306
58	82	1315
59	83	1311
60	85	1319
61	87	1317
62	88	1314
63	89	1311
64	90	1308
65	92	1304
66	93	1301
67	94	1301
68	96	1300
69	98	1308
70	99	1306
71	101	1307
72	102	1304
73	104	1312
74	106	1319
75	108	1318
76	111	1330
77	113	1344
78	114	1340
79	116	1343
80	118	1339
81	119	1338
82	120	1335
83	122	1331
84	124	1335
85	125	1331
86	126	1327
87	127	1324
88	129	1320
89	130	1317
90	131	1313
91	132	1310
92	133	1306
93	135	1303
94	136	1302
95	138	1299
96	139	1296
97	141	1298
98	143	1302
99	144	1299
100	145	1296
101	147	1301
102	149	1299
103	150	1296
104	152	1299
105	153	1296
106	155	1294
107	156	1290
108	157	1289
109	159	1292
110	160	1289
111	162	1285
112	163	1284
113	164	1281
114	166	1278
115	167	1276
116	168	1274
117	170	1271
118	171	1269
119	172	1265
120	174	1267
121	176	1271
122	177	1268
123	179	1266
124	180	1263
125	181	1260
126	182	1256
127	184	1256
128	185	1254
129	187	1251
130	188	1250
131	189	1248
132	191	1245
133	192	1242
134	194	1243
135	196	1248
136	197	1245
137	198	1242
138	200	1241
139	201	1239
140	203	1238
141	204	1236
142	205	1234
143	207	1233
144	208	1230
145	209	1227
146	211	1224
147	212	1223
148	214	1224
149	215	1222
150	216	1219
151	218	1216
152	219	1214
153	221	1214
154	222	1211
155	223	1209
156	226	1215
157	227	1212
158	228	1210
159	230	1208
160	232	1209
161	233	1207
162	234	1204
163	235	1202
164	237	1200
165	238	1198
166	239	1196
167	241	1194
168	242	1192
169	243	1190
170	245	1192
171	247	1189
172	248	1187
173	249	1185
174	251	1184
175	253	1184
176	254	1182
177	256	1183
178	257	1181
179	258	1179
180	260	1177
181	261	1175
182	262	1173
183	263	1170
184	265	1168
185	267	1169
186	268	1167
187	269	1165
188	271	1163
189	272	1160
190	273	1158
191	275	1158
192	276	1156
193	277	1154
194	279	1152
195	280	1150
196	281	1147
197	282	1145
198	284	1145
199	285	1143
200	287	1144
201	289	1142
202	290	1140
203	291	1138
204	293	1136
205	294	1134
206	295	1132
207	296	1130
208	298	1128
209	299	1126
210	300	1124
211	302	1124
212	303	1122
213	304	1120
214	306	1118
215	307	1116
216	308	1114
217	310	1112
218	311	1110
219	312	1109
220	314	1109
221	315	1107
222	317	1107
223	319	1105
224	320	1105
225	322	1103
226	323	1101
227	324	1099
228	325	1097
229	327	1097
230	329	1097
231	331	1095
232	332	1094
233	333	1092
234	335	1092
235	336	1090
236	338	1088
