comparison,row_uid,recording_key,study_set,dataset_type,domain_label,pc1,pc2,pc3
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_tetrode::rec_4c_1200s_21::JRClust::6,HYBRID_JANELIA::hybrid_static_tetrode::rec_4c_1200s_21,HYBRID_JANELIA,hybrid,domain_a,-2.5722342540044063,-2.0983137526133224,1.2889918651035979
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_32::MountainSort4::90,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_32,HYBRID_JANELIA,hybrid,domain_a,-4.156464588734423,-2.9244784033326203,3.2702385216889764
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_22::SpykingCircus::23,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_22,HYBRID_JANELIA,hybrid,domain_a,-2.59525809257023,-2.109602180511785,1.3680534235673045
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_1200s_11::Tridesclous::59,HYBRID_JANELIA::hybrid_static_siprobe::rec_64c_1200s_11,HYBRID_JANELIA,hybrid,domain_a,-3.166631528288045,-1.846853500720728,1.4254323282449117
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_32::KiloSort2::9,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_32,HYBRID_JANELIA,hybrid,domain_a,-4.750867633411016,-0.9377979806967255,3.2567099027145208
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_12::KiloSort2::9,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_12,HYBRID_JANELIA,hybrid,domain_a,-3.0878351029736453,-1.9479296131025599,1.9580111609840785
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_22::JRClust::22,HYBRID_JANELIA::hybrid_drift_siprobe::rec_16c_600s_22,HYBRID_JANELIA,hybrid,domain_a,-2.8304981484025413,-1.2350616172328226,1.2396679234303418
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_21::KiloSort2::2,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_21,HYBRID_JANELIA,hybrid,domain_a,-2.998755954972313,-2.1028362534962337,1.735795181790729
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_31::HerdingSpikes2::70,HYBRID_JANELIA::hybrid_static_siprobe::rec_32c_600s_31,HYBRID_JANELIA,hybrid,domain_a,-1.71693194705182,0.8899708283840971,1.6731263137455514
hybrid_vs_paired_all,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_31::IronClust::22,HYBRID_JANELIA::hybrid_drift_siprobe::rec_32c_600s_31,HYBRID_JANELIA,hybrid,domain_a,-3.161509574419023,-1.8888986538980017,2.4013119209945506
