item_type,study_set,recording_key,recording_name,sorter_name,severity,details
missing_sorter_output_common,PAIRED_BOYDEN,PAIRED_BOYDEN::paired_boyden32c::419_1_8,419_1_8,Klusta,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_BOYDEN,PAIRED_BOYDEN::paired_boyden32c::509_1_1,509_1_1,Tridesclous,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_CRCNS_HC1,PAIRED_CRCNS_HC1::paired_crcns::d11221_d11221.001,d11221_d11221.001,KiloSort2,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_CRCNS_HC1,PAIRED_CRCNS_HC1::paired_crcns::d11222_d11222.001,d11222_d11222.001,JRClust,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_CRCNS_HC1,PAIRED_CRCNS_HC1::paired_crcns::d11222_d11222.001,d11222_d11222.001,KiloSort2,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_ENGLISH,PAIRED_ENGLISH::paired_english::m113_191125_204935,m113_191125_204935,KiloSort2,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_ENGLISH,PAIRED_ENGLISH::paired_english::m139_200114_205038,m139_200114_205038,SpykingCircus,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_ENGLISH,PAIRED_ENGLISH::paired_english::m14_190326_155432,m14_190326_155432,KiloSort2,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_ENGLISH,PAIRED_ENGLISH::paired_english::m26_190524_100859_cell1,m26_190524_100859_cell1,HerdingSpikes2,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_ENGLISH,PAIRED_ENGLISH::paired_english::m26_190524_100859_cell1,m26_190524_100859_cell1,Tridesclous,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_ENGLISH,PAIRED_ENGLISH::paired_english::m26_190524_100859_cell3,m26_190524_100859_cell3,HerdingSpikes2,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_ENGLISH,PAIRED_ENGLISH::paired_english::m26_190524_100859_cell3,m26_190524_100859_cell3,Tridesclous,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_ENGLISH,PAIRED_ENGLISH::paired_english::m57_191105_141906,m57_191105_141906,KiloSort2,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_ENGLISH,PAIRED_ENGLISH::paired_english::m57_191105_141906,m57_191105_141906,Tridesclous,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_ENGLISH,PAIRED_ENGLISH::paired_english::m57_191105_160026,m57_191105_160026,KiloSort2,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_KAMPFF,PAIRED_KAMPFF::paired_kampff::2014_11_25_Pair_3_0,2014_11_25_Pair_3_0,JRClust,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_KAMPFF,PAIRED_KAMPFF::paired_kampff::c14,c14,JRClust,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_MEA64C_YGER,PAIRED_MEA64C_YGER::paired_mea64c::20160415_patch2,20160415_patch2,KiloSort2,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_MEA64C_YGER,PAIRED_MEA64C_YGER::paired_mea64c::20160415_patch2,20160415_patch2,Klusta,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_MEA64C_YGER,PAIRED_MEA64C_YGER::paired_mea64c::20170621_patch1,20170621_patch1,JRClust,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_MEA64C_YGER,PAIRED_MEA64C_YGER::paired_mea64c::20170621_patch1,20170621_patch1,Klusta,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
missing_sorter_output_common,PAIRED_MEA64C_YGER,PAIRED_MEA64C_YGER::paired_mea64c::20170622_patch1,20170622_patch1,JRClust,warning,Sorter is missing from this recording but appears in at least the configured common-fraction of recordings for the study.
no_matched_units,PAIRED_ENGLISH,PAIRED_ENGLISH::paired_english::m139_200114_205038,m139_200114_205038,,warning,Recording has paired rows but zero matched ground-truth units.
no_matched_units,PAIRED_ENGLISH,PAIRED_ENGLISH::paired_english::m26_190524_100859_cell3,m26_190524_100859_cell3,,warning,Recording has paired rows but zero matched ground-truth units.
