recipe_id,target,protocol,runner_key,implementation_module,result_key,main_text
fmiss_dummy,fmiss,recording_disjoint_main,legacy_transfer,qc_thesis.modeling.recipes,inductive|dummy|paired_mean|none,True
fmiss_embed_nommd,fmiss,recording_disjoint_main,context_stack,qc_thesis.modeling.stacking.recipes,embed_nommd_fullctx_lightgbm,False
fmiss_hybrid_calibrated,fmiss,recording_disjoint_main,legacy_transfer,qc_thesis.modeling.recipes,inductive|hybrid_calibrated|lightgbm+linear|unit_raw,False
fmiss_hybrid_only,fmiss,recording_disjoint_main,legacy_transfer,qc_thesis.modeling.recipes,inductive|hybrid_only|xgboost|unit_raw,True
fmiss_hybrid_residual,fmiss,recording_disjoint_main,legacy_transfer,qc_thesis.modeling.recipes,inductive|hybrid_stack|lightgbm_residual|unit_raw,False
fmiss_mmd,fmiss,recording_disjoint_main,mmd_neural,qc_thesis.modeling.recipes,neural_mmd_finetuned,False
fmiss_paired_context,fmiss,recording_disjoint_main,context_stack,qc_thesis.modeling.stacking.recipes,contextual_paired_only_lightgbm,True
fmiss_paired_raw,fmiss,recording_disjoint_main,legacy_transfer,qc_thesis.modeling.recipes,inductive|paired_only|xgboost|shape_only,True
fmiss_reduced_latent,fmiss,recording_disjoint_main,context_stack,qc_thesis.modeling.stacking.recipes,source_plus_reduced_latent_fullctx_lightgbm,True
fmiss_source_reweighted,fmiss,recording_disjoint_main,context_stack,qc_thesis.modeling.stacking.recipes,source_reweighted_fullctx_lightgbm,False
fmiss_ssl,fmiss,recording_disjoint_main,ssl_neural,qc_thesis.modeling.recipes,ssl_fmiss_contextual,False
fmiss_transplanted_fpos,fmiss,recording_disjoint_main,waveform_transfer,qc_thesis.modeling.stacking.recipes,fmiss_wf_embed_anchor_stack_xgboost,False
fpos_context_stack,fpos,recording_disjoint_main,context_stack,qc_thesis.modeling.stacking.recipes,embed_nommd_fullctx_lightgbm,True
fpos_dummy,fpos,recording_disjoint_main,legacy_transfer,qc_thesis.modeling.recipes,inductive|dummy|paired_mean|none,True
fpos_family_balanced,fpos,recording_disjoint_main,robustness_stack,qc_thesis.modeling.stacking.recipes,family_balanced_strong_xgboost,False
fpos_hybrid_calibrated,fpos,recording_disjoint_main,legacy_transfer,qc_thesis.modeling.recipes,inductive|hybrid_calibrated|xgboost+isotonic|unit_raw,False
fpos_hybrid_only,fpos,recording_disjoint_main,legacy_transfer,qc_thesis.modeling.recipes,inductive|hybrid_only|xgboost|unit_raw,True
fpos_hybrid_plus_paired,fpos,recording_disjoint_main,legacy_transfer,qc_thesis.modeling.recipes,inductive|hybrid_plus_paired|xgboost_w25|unit_raw,False
fpos_hybrid_residual,fpos,recording_disjoint_main,legacy_transfer,qc_thesis.modeling.recipes,inductive|hybrid_stack|lightgbm_residual|unit_raw,False
fpos_mmd,fpos,recording_disjoint_main,mmd_neural,qc_thesis.modeling.recipes,neural_mmd_finetuned,False
fpos_paired_context,fpos,recording_disjoint_main,context_stack,qc_thesis.modeling.stacking.recipes,contextual_paired_only_lightgbm,True
fpos_paired_raw,fpos,recording_disjoint_main,legacy_transfer,qc_thesis.modeling.recipes,inductive|paired_only|lightgbm|unit_raw,True
fpos_pre_waveform_unlabeled,fpos,recording_disjoint_main,anchor_stack,qc_thesis.modeling.stacking.recipes,source_reweighted_anchor_stack_cluster_trust_pseudo_xgboost_default,True
fpos_ssl,fpos,recording_disjoint_main,ssl_neural,qc_thesis.modeling.recipes,ssl_fpos_contextual,False
fpos_waveform_winner,fpos,recording_disjoint_main,waveform_stack,qc_thesis.modeling.stacking.recipes,wf_embed_anchor_stack_xgboost,True
