index,Context stack,Paired-only context,Trust-filtered,Waveform+
KAMPFF · 2015_09_03_Pair_9_0B,0.8850053220828068,0.8816969591537764,0.8751112445017708,0.8978148920512837
KAMPFF · 2015_09_03_Pair_9_0A,0.72973207147962,0.7326645069456017,0.7645548494621124,0.785563106958416
KAMPFF · c14,0.6866495995313402,0.6452581980477506,0.7064417831409682,0.6807254073265497
MEA64C_YGER · 20170622_patch1,0.6586292323040606,0.5084515388316093,0.6851246495824531,0.631205823807222
KAMPFF · 2014_11_25_Pair_3_0,0.6559228680338337,0.6616600186393484,0.6531424809849465,0.6418455113205085
MEA64C_YGER · 20170621_patch1,0.2497672007047587,0.5465339899109615,0.3394110138360312,0.2562859724995016
ENGLISH · m15_190315_152315_cell1,0.4377428487804617,0.3670715692822142,0.311431119561527,0.3051658300114127
MEA64C_YGER · 20170622_patch2,0.3066023215498405,0.2834924270250243,0.1760849446985786,0.274828369287352
BOYDEN · 419_1_7,0.302410650173352,0.2117078919140942,0.2257222370360929,0.278540794534246
BOYDEN · 509_1_1,-0.1806076963751629,-0.1231242260401471,0.2930702120274853,0.1635745832708508
ENGLISH · m15_190315_142052_cell1,0.1278154528823565,0.0866926792394714,0.183075349424791,0.2005111148891836
ENGLISH · m57_191105_160026,0.1284818023664008,0.1212230208363697,0.1485406063430314,0.1151563286333685
CRCNS_HC1 · d11222_d11222.002,-0.0790321360210524,-0.0732070566622387,-0.1696260336068954,-0.1566448391100488
ENGLISH · m26_190524_100859_cell1,-0.0738572158415634,-0.4714558658157756,-0.4015140029606939,-0.3982682021507108
CRCNS_HC1 · d11221_d11221.002,-0.117574730870778,-0.1436391084359846,-0.4811666049077091,-0.5788235804032201
ENGLISH · m139_200114_222743,-0.9040694832275072,-1.0845206367627176,-0.5818124912174037,-0.7157098262668666
MEA64C_YGER · 20160415_patch2,-1.3800725078118532,-0.8541180512904715,-1.2477715555490538,-1.8219514743208924
ENGLISH · m113_191125_204935,-1.56536829782994,-1.4817604221911826,-1.3052426143447904,-1.188618939629355
ENGLISH · m108_191125_171427,-3.14025565940884,-1.959182981245916,-3.0992584841440975,-3.1833152450027993
ENGLISH · m57_191105_141906,-4.336525366260555,-5.649570196444221,-4.150007328033115,-3.0485905422338724
ENGLISH · m14_190326_155432,-5.929918993843003,-4.155398216442646,-4.695840107454577,-4.593256790726185
ENGLISH · m139_200114_191955,-7.083908339365295,-6.0620407000856344,-6.01138462366703,-7.069909848476704
ENGLISH · m15_190315_150831_cell1,-100.24335227724592,-13.457818822095874,-81.1900986063542,-89.75415138581435
ENGLISH · m57_191105_161455,-175.73937607274624,-144.25451960510432,-162.3007904986823,-167.4430894952463
