seed,recipe_id,label,r2,mae,rank,test_rows,test_recordings,true_mean,true_std,true_iqr,rows__PAIRED_BOYDEN,rows__PAIRED_CRCNS_HC1,rows__PAIRED_ENGLISH,rows__PAIRED_KAMPFF,rows__PAIRED_MEA64C_YGER,share__PAIRED_BOYDEN,share__PAIRED_CRCNS_HC1,share__PAIRED_ENGLISH,share__PAIRED_KAMPFF,share__PAIRED_MEA64C_YGER
42,fpos_waveform_winner,Waveform-augmented structure,0.5331891877732409,0.1160615450398521,1,100,15,0.22090996558005707,0.2476689362291873,0.27201786792512317,21.0,9.0,44.0,6.0,20.0,0.21,0.09,0.44,0.06,0.2
43,fpos_paired_raw,Paired-only raw,0.5321048705552389,0.1285339381707635,1,100,15,0.23632723019365445,0.2525217787144218,0.33999960180208266,5.0,14.0,53.0,12.0,16.0,0.05,0.14,0.53,0.12,0.16
44,fpos_paired_context,Paired-only context,0.5010120715666344,0.140482496127228,1,100,15,0.20805234519384144,0.2516614519269556,0.2795480289698538,22.0,16.0,39.0,6.0,17.0,0.22,0.16,0.39,0.06,0.17
45,fpos_waveform_winner,Waveform-augmented structure,0.6854617076885421,0.1070108740378103,1,100,15,0.24026015150239158,0.25826070487455366,0.261166843085718,10.0,14.0,39.0,18.0,19.0,0.1,0.14,0.39,0.18,0.19
46,fpos_paired_raw,Paired-only raw,0.4558515739024061,0.137327774661299,1,100,15,0.2227176341438448,0.25477722771402755,0.32450412463200196,16.0,15.0,50.0,0.0,19.0,0.16,0.15,0.5,0.0,0.19
47,fpos_waveform_winner,Waveform-augmented structure,0.6262200738710451,0.0988697101067253,1,100,15,0.24630929784634262,0.23957237081469782,0.3013724306607264,26.0,1.0,48.0,17.0,8.0,0.26,0.01,0.48,0.17,0.08
48,fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,0.4510383430226587,0.1108988054938911,1,100,15,0.1888570087319243,0.219310930640317,0.2617666369649071,22.0,16.0,25.0,12.0,25.0,0.22,0.16,0.25,0.12,0.25
49,fpos_paired_raw,Paired-only raw,0.5645117611346726,0.1164153902915474,1,100,15,0.2736039669114713,0.2581939481808349,0.3489227263761255,15.0,7.0,44.0,17.0,17.0,0.15,0.07,0.44,0.17,0.17
50,fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,0.6069352685466369,0.0959953362855014,1,100,15,0.2135990125338626,0.24158335261298672,0.3076877959514087,16.0,8.0,34.0,17.0,25.0,0.16,0.08,0.34,0.17,0.25
51,fpos_context_stack,Context-first source stack,0.2115448511433497,0.1726894746958249,1,100,15,0.275429613484457,0.27211137291773557,0.36401791511107795,10.0,8.0,47.0,24.0,11.0,0.1,0.08,0.47,0.24,0.11
52,fpos_context_stack,Context-first source stack,0.3878173916465144,0.1417337223732525,1,100,15,0.2565816200840887,0.2554464144808257,0.3260019286807896,15.0,8.0,34.0,23.0,20.0,0.15,0.08,0.34,0.23,0.2
53,fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,0.5585510234059661,0.1189613170104011,1,100,15,0.21131177871735873,0.24811286971437505,0.27310801722569444,17.0,0.0,52.0,23.0,8.0,0.17,0.0,0.52,0.23,0.08
54,fpos_paired_context,Paired-only context,0.5221100307662857,0.1170497504829887,1,100,15,0.2340265183304905,0.25165328578900553,0.28644893865562526,21.0,8.0,35.0,11.0,25.0,0.21,0.08,0.35,0.11,0.25
55,fpos_waveform_winner,Waveform-augmented structure,0.3723377696272144,0.1296037244602043,1,100,15,0.22212316768762666,0.24246317322127173,0.3052030691729963,5.0,14.0,50.0,23.0,8.0,0.05,0.14,0.5,0.23,0.08
56,fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,0.4491581347776286,0.1383906981638097,1,100,15,0.28883524921130177,0.25717569864344075,0.34346424172672063,21.0,15.0,48.0,0.0,16.0,0.21,0.15,0.48,0.0,0.16
57,fpos_context_stack,Context-first source stack,0.4278347281673006,0.1359005730797929,1,100,15,0.19643143356035137,0.2411153989090414,0.2872692896761272,0.0,15.0,39.0,18.0,28.0,0.0,0.15,0.39,0.18,0.28
58,fpos_paired_raw,Paired-only raw,0.3280122778831849,0.1223628223617482,1,100,15,0.18619073605097733,0.20834849259666288,0.2523645422731353,26.0,0.0,46.0,11.0,17.0,0.26,0.0,0.46,0.11,0.17
59,fpos_context_stack,Context-first source stack,0.6006397425828882,0.0903559606815365,1,100,15,0.18186912574540468,0.2148569454377726,0.21704154065088793,21.0,22.0,9.0,12.0,36.0,0.21,0.22,0.09,0.12,0.36
60,fpos_paired_context,Paired-only context,0.5665979365392098,0.1073601368436738,1,100,15,0.2287762467741829,0.23602055855855697,0.32249385582912815,5.0,21.0,29.0,29.0,16.0,0.05,0.21,0.29,0.29,0.16
61,fpos_pre_waveform_unlabeled,Pre-waveform unlabeled structure,0.5819106067443232,0.1000653317097399,1,100,15,0.20876493644843458,0.23621173981361043,0.26813134658803583,11.0,7.0,37.0,18.0,27.0,0.11,0.07,0.37,0.18,0.27
