index,Paired context,Reduced latent
MEA64C_YGER · 20170622_patch1,0.6733622041351454,0.8176757169806199
MEA64C_YGER · 20170621_patch1,0.7856214488230281,0.8091714188369381
MEA64C_YGER · 20170622_patch2,0.5569734633427135,0.689900931289476
ENGLISH · m57_191105_161455,0.5654991235530408,0.4428761815716844
BOYDEN · 419_1_8,0.3770035818054741,0.3428453330081187
BOYDEN · 419_1_7,0.1261624274931277,0.3475897241031289
MEA64C_YGER · 20160415_patch2,0.3233164240209069,0.3079919766212304
ENGLISH · m57_191105_141906,0.1899431429498507,0.2979761352878787
BOYDEN · 1103_1_1,-0.0166388509846306,0.0736414908097079
CRCNS_HC1 · d11221_d11221.002,-0.2501900140717495,0.0369160258120788
KAMPFF · 2015_09_03_Pair_9_0A,-0.0306807650650177,-0.067844045705856
KAMPFF · 2015_09_03_Pair_9_0B,-0.0525081598818704,-0.1245048545647451
ENGLISH · m15_190315_152315_cell1,-7.233494438507959,-2.8499210204497314
ENGLISH · m26_190524_100859_cell1,-3.925268164003725,-3.2464528089998126
ENGLISH · m108_191125_171427,-3.782344457405891,-4.275121532075108
ENGLISH · m15_190315_150831_cell1,-4.917934278691164,-5.350803818516771
KAMPFF · c14,-10.572156098062033,-5.330004958571539
ENGLISH · m57_191105_160026,-8.510999606613957,-10.459075118990429
ENGLISH · m57_191105_153915,-29.088895332549093,-18.131797609963417
BOYDEN · 509_1_1,-25.36581173236084,-22.68496962371094
ENGLISH · m139_200114_191955,-45.86678954693528,-53.7003584350526
ENGLISH · m14_190326_155432,-146.62721700994524,-168.64987547928234
ENGLISH · m139_200114_222743,-2305.7445516288453,-2107.8580877701816
KAMPFF · 2014_11_25_Pair_3_0,-5761.800693130356,-7306.240874529956
