feature,feature_group,mean_abs_shap,std_abs_shap,run_count,mean_rank,rank
source_pred,source_transfer,0.4521196988455274,0.2344167372658147,100,2.16,1
isi_violation_rate,spikeinterface_qc,0.290049573014701,0.0702322416685907,100,1.95,2
amp_bin_cv_mean_recording_pct,recording_context,0.1481996530911137,0.072213138186818,100,4.7,3
acg_18,acg,0.1461576452317404,0.068533078345008,100,4.67,4
acg_19,acg,0.1274675287539353,0.0680227105050921,100,6.47,5
amp_bin_cv_mean_recording_delta,recording_context,0.0863219997910134,0.0486319187770431,100,9.42,6
acg_20,acg,0.0654197723942408,0.0474801070366885,100,18.12,7
acg_21,acg,0.0641582219613924,0.0318342455213518,100,12.21,8
amp_bimodality,amplitude,0.058479996094661,0.0373219613519964,100,32.76,9
isi_cv,spikeinterface_qc,0.0381145547142253,0.0264743586953438,100,43.32,10
acg_31,acg,0.034767796864237,0.0204344614788169,100,45.64,11
amp_std_recording_pct,recording_context,0.0333100053088622,0.020542718038796,100,32.76,12
si_isi_violations_ratio,spikeinterface_qc,0.0311110719427431,0.0225478330475166,100,45.64,13
si_sd_ratio_recording_pct,recording_context,0.0294662778788071,0.0162810352955733,100,39.67,14
amp_bin_cv_mean_recording_pct_recording_delta,recording_context,0.0286809833918977,0.0205209868895689,100,45.79,15
acg_09,acg,0.0286306432239292,0.0126150081993515,100,30.27,16
isi_std_ms,spikeinterface_qc,0.0286222177830948,0.0196396800852257,100,44.97,17
amp_iqr_recording_pct,recording_context,0.0275352101866236,0.0182472689637363,100,38.8,18
si_snr_recording_delta,recording_context,0.024519372937837,0.0291004091961442,100,78.49,19
amp_bin_cv_mean,amplitude,0.024135052387969,0.0086100454050783,20,33.95,20
anchor_support_margin,source_transfer,0.0226317530902534,0.0237672560723243,100,72.58,21
burst_index,other,0.022054277622219,0.0182315302635424,80,54.55,22
matched_support_conf,source_transfer,0.021751270300139,0.0157825204451892,100,54.14,23
acg_22,acg,0.0217508861402276,0.0226580578518135,100,105.07,24
snr_recording_pct,recording_context,0.0214490754992289,0.0091759503095553,100,39.67,25
wf_pre_trough_slope,waveform,0.0209221294744752,0.0219809463750859,100,78.05,26
si_isi_violations_count,spikeinterface_qc,0.0196824416790959,0.0094119036289669,100,49.04,27
spread_weighted_um,other,0.0188762084012032,0.0239223358325886,100,94.24,28
n_active_channels,other,0.0186562761730429,0.0249518025737543,80,125.7875,29
amp_early_p50_recording_pct,recording_context,0.0186481859519718,0.0161068272656886,100,93.14,30
si_amplitude_cv_median,spikeinterface_qc,0.0182671362906555,0.0137776416505919,100,73.71,31
cosine_gap_top2_recording_delta,recording_context,0.0178138269252216,0.0131628632041478,100,64.05,32
acg_16,acg,0.0177979740726592,0.0126752064824467,100,65.83,33
std_waveform_cosine_recording_delta,recording_context,0.0177805022438718,0.0148641540489454,100,80.97,34
amp_p5,amplitude,0.017745625541975,0.0181721454875791,80,100.975,35
amp_iqr,amplitude,0.017312749361304,0.0193328193367485,100,120.87,36
acg_11,acg,0.0171081617046598,0.0193869270188133,100,84.47,37
si_amplitude_cv_range,spikeinterface_qc,0.0170724793800361,0.0210898616673064,100,106.06,38
acg_30,acg,0.0168553073176315,0.0107501118028565,100,75.59,39
si_drift_std_recording_delta,recording_context,0.0168456685300653,0.01186385619947,100,71.97,40
amp_kurtosis_recording_pct,recording_context,0.0167949140122935,0.0108665110270928,100,74.7,41
amp_iqr_recording_delta,recording_context,0.0166979601465347,0.009578437440208,100,57.82,42
si_amplitude_cv_median_recording_delta,recording_context,0.0166687421181556,0.0123779199112517,100,88.13,43
acg_15,acg,0.0162169787185685,0.0130848941096233,100,78.47,44
