protocol,target,variant_id,family,backend,source_target,notes,held_out_family,mae,rmse,r2,bias,calibration_slope,calibration_intercept,n_test_rows,n_test_recordings,pseudo_rows,seed_count,mae_std,rmse_std,r2_std,bias_std,calibration_slope_std,calibration_intercept_std,n_test_rows_std,n_test_recordings_std,pseudo_rows_std
main,fpos,reference_anchor_stack_xgboost,family_holdout_stress,xgboost_default,fpos,family-held-out anchor reference,PAIRED_BOYDEN,0.0863696527719137,0.1165277645057932,0.097686792145223,-0.0416986729417564,0.7050295376176676,0.0758582469187987,43.0,4.0,194.6,20,0.0036592923170102,0.0034568793105226,0.0534656810728089,0.0096525374059572,0.082882746392303,0.0057757066737331,0.0,0.0,1.0198039027185568
main,fpos,wf_embed_anchor_stack_xgboost,family_holdout_stress,xgboost_default,fpos,family-held-out waveform winner,PAIRED_BOYDEN,0.0820648381905657,0.1138915861439909,0.1379733842148397,-0.0418838237272688,0.7362399409170077,0.0723030409168543,43.0,4.0,194.6,20,0.003492954819131,0.0035466327817039,0.0536260289729538,0.0088971911814736,0.0710973000496747,0.0056084127034811,0.0,0.0,1.0198039027185568
main,fpos,reference_anchor_stack_xgboost,family_holdout_stress,xgboost_default,fpos,family-held-out anchor reference,PAIRED_CRCNS_HC1,0.1863439067685304,0.2273754750679125,0.4371736933969622,-0.0735120791422252,1.1627789058903737,0.0312507103801753,22.0,4.0,242.85,20,0.0086469798998046,0.0110895617540202,0.0546230513075589,0.0131075342588815,0.0716649811981149,0.0287747070392652,0.0,0.0,0.7262919523166965
main,fpos,wf_embed_anchor_stack_xgboost,family_holdout_stress,xgboost_default,fpos,family-held-out waveform winner,PAIRED_CRCNS_HC1,0.1871897110628179,0.2294230149376925,0.4275923287150074,-0.07500731872109,1.130238172771368,0.0419577758938726,22.0,4.0,242.85,20,0.0070163678499653,0.0083591518256966,0.0416700560150896,0.0143587997031325,0.0751896010535195,0.0218018726832075,0.0,0.0,0.7262919523166965
main,fpos,reference_anchor_stack_xgboost,family_holdout_stress,xgboost_default,fpos,family-held-out anchor reference,PAIRED_ENGLISH,0.1673185978201602,0.2150532789121265,0.3878626572528211,0.0064381929399515,0.8937578653899225,0.027649881028324,71.0,13.0,204.0,20,0.0061795691082759,0.0073891451423444,0.0418605596349977,0.0165966786539206,0.0639891987019819,0.0228824472354141,0.0,0.0,0.0
main,fpos,wf_embed_anchor_stack_xgboost,family_holdout_stress,xgboost_default,fpos,family-held-out waveform winner,PAIRED_ENGLISH,0.1676853751658482,0.21694337859052,0.3774252161234454,-0.0012422022249295,0.8805592007871234,0.0390760810870644,71.0,13.0,204.0,20,0.0046676202076401,0.0052515077668249,0.0301973544981908,0.0163392662665556,0.0553962790999771,0.0127556402219066,0.0,0.0,0.0
main,fpos,reference_anchor_stack_xgboost,family_holdout_stress,xgboost_default,fpos,family-held-out anchor reference,PAIRED_KAMPFF,0.093522517872426,0.1145752332112516,0.708891891115753,0.0356239918482081,1.585130599926644,-0.1442485530491828,35.0,4.0,215.5,20,0.0071979139931134,0.0066201963260815,0.0341417424569511,0.0111374955019025,0.10665392966257,0.0228598083887852,0.0,0.0,1.3228756555322934
main,fpos,wf_embed_anchor_stack_xgboost,family_holdout_stress,xgboost_default,fpos,family-held-out waveform winner,PAIRED_KAMPFF,0.0911132626220855,0.1138381083480015,0.7124856203631504,0.0250483222035416,1.62164219253431,-0.1341664848385897,35.0,4.0,215.5,20,0.0089193308889551,0.0070424664432837,0.0359208259655702,0.0128052803620268,0.0759206995765347,0.0237339902987655,0.0,0.0,1.3228756555322934
main,fpos,reference_anchor_stack_xgboost,family_holdout_stress,xgboost_default,fpos,family-held-out anchor reference,PAIRED_MEA64C_YGER,0.0711777365542538,0.1184099196366364,0.225885710156435,-0.0049512009043051,0.6509262308357032,0.0411286788834279,36.0,4.0,174.85,20,0.0047203883525113,0.0055570630110456,0.0719497814878855,0.0056384608077759,0.0723755077882097,0.0075899562061339,0.0,0.0,0.9096702699330128
main,fpos,wf_embed_anchor_stack_xgboost,family_holdout_stress,xgboost_default,fpos,family-held-out waveform winner,PAIRED_MEA64C_YGER,0.071282893620574,0.1097396626484637,0.3321424764370461,0.0010576960866326,0.6825690427898704,0.0340669722326629,36.0,4.0,174.85,20,0.0066291065394761,0.0089562482409556,0.1091215307226192,0.006740532381762,0.0774394134782329,0.0056148113001253,0.0,0.0,0.9096702699330128
