label,recipe_id,mae,rmse,r2,bias,calibration_slope,notes,protocol,phase,split_id,protocol_mode,candidate_id,target,source_target,feature_view,model_family,model_name,is_ceiling_model,source_label_rows,target_label_rows,target_eval_rows,target_unlabeled_rows,used_unlabeled_paired,calibration_intercept,variant_id,family,backend
Dummy paired mean,fpos_dummy,0.1910159415821171,0.2464546790476066,-0.0002207581638757,-0.0036614029128913,0.0,Sanity floor,recording_disjoint_main,final_holdout,final_holdout,inductive,inductive|dummy|paired_mean|none,fpos,fpos,none,dummy,paired_mean,False,0.0,107.0,100.0,0.0,False,0.2209099655800571,,,
Paired-only raw,fpos_paired_raw,0.1259475190985631,0.1769109990283552,0.4846154470421743,-0.0361654896329005,1.002662656741471,Small paired baseline,recording_disjoint_main,final_holdout,final_holdout,inductive,inductive|paired_only|lightgbm|unit_raw,fpos,fpos,unit_raw,paired_only,lightgbm,False,0.0,107.0,100.0,0.0,False,0.0356735785085702,,,
Hybrid-only XGBoost,fpos_hybrid_only,0.2191984550116051,0.2952136368183175,-0.4351409537069446,0.1413081250933655,0.4616852857959919,Pure source failure baseline,recording_disjoint_main,final_holdout,final_holdout,inductive,inductive|hybrid_only|xgboost|unit_raw,fpos,fpos,unit_raw,hybrid_only,xgboost,False,24211.0,107.0,100.0,0.0,False,0.0536792028670193,,,
Calibrated hybrid XGBoost,fpos_hybrid_calibrated,0.1513542848021479,0.2141047130023297,0.2451264950138487,-0.0091196066863256,1.0905217405270629,Simple calibrated transfer,recording_disjoint_main,final_holdout,final_holdout,inductive,inductive|hybrid_calibrated|xgboost+isotonic|unit_raw,fpos,fpos,unit_raw,hybrid_calibrated,xgboost+isotonic,False,24211.0,107.0,100.0,0.0,False,-0.0100520252275862,,,
Hybrid+paired basic XGBoost,fpos_hybrid_plus_paired,0.1387082740206055,0.1973668376213905,0.3585392423682114,0.0583254951502943,0.7218561022383205,Basic transfer baseline,recording_disjoint_main,final_holdout,final_holdout,inductive,inductive|hybrid_plus_paired|xgboost_w25|unit_raw,fpos,fpos,unit_raw,hybrid_plus_paired,xgboost_w25,False,24211.0,107.0,100.0,0.0,False,0.019342144290524,,,
Hybrid stack residual,fpos_hybrid_residual,0.1428692333684639,0.194831768949344,0.3749118367444185,0.0291869026060066,0.7748997074431859,First nonlinear stack,recording_disjoint_main,final_holdout,final_holdout,inductive,inductive|hybrid_stack|lightgbm_residual|unit_raw,fpos,fpos,unit_raw,hybrid_stack,lightgbm_residual,False,24211.0,107.0,100.0,0.0,False,0.0271099755902192,,,
Paired-only context,fpos_paired_context,0.1312796304257043,0.1794852134645769,0.4695077060954978,-0.0393682176565823,1.0437570972831942,Context-only target baseline,recording_disjoint_main,,,,,fpos,,,,,,,,,,,0.0314244777317338,contextual_paired_only_lightgbm,baseline,lightgbm
Context-first source stack,fpos_context_stack,0.1275665490781526,0.1741662084779434,0.5004838628864293,-0.0354634715842154,1.0601047127632608,Best pre-unlabeled context-first stack,recording_disjoint_main,,,,,fpos,fpos,,,,,,,,,,0.0243172633296417,embed_nommd_fullctx_lightgbm,embedding_stack,lightgbm
Pre-waveform unlabeled structure,fpos_pre_waveform_unlabeled,0.1169372872388205,0.1683801877391904,0.5331216809084207,-0.0407688366812259,1.1940459921052984,Best positive result before waveform embedding,recording_disjoint_main,,,,,fpos,fpos,,,,,,,,,,0.0058131726050838,source_reweighted_anchor_stack_cluster_trust_pseudo_xgboost_default,backend_sweep,xgboost_default
Family-balanced robustness,fpos_family_balanced,0.1166783095069455,0.1721932782301471,0.511736661495046,-0.0478731010136731,1.21786493117299,Robustness tradeoff variant,recording_disjoint_main,,,,,fpos,fpos,,,,,,,,,,0.0101744364245278,family_balanced_strong_xgboost,family_robustness,xgboost_default
Waveform winner,fpos_waveform_winner,0.1139699085039247,0.165702670774717,0.5478518642338233,-0.0471403269962945,1.232167927662046,Final `fpos` winner,recording_disjoint_main,,,,,fpos,fpos,,,,,,,,,,0.0067965901157196,wf_embed_anchor_stack_xgboost,signal_embedding_stack,xgboost_default
