runner_key,implementation_module,recipe_id,result_key
anchor_stack,qc_thesis.modeling.stacking.recipes,fpos_pre_waveform_unlabeled,source_reweighted_anchor_stack_cluster_trust_pseudo_xgboost_default
context_stack,qc_thesis.modeling.stacking.recipes,fmiss_paired_context,contextual_paired_only_lightgbm
context_stack,qc_thesis.modeling.stacking.recipes,fmiss_reduced_latent,source_plus_reduced_latent_fullctx_lightgbm
context_stack,qc_thesis.modeling.stacking.recipes,fpos_context_stack,embed_nommd_fullctx_lightgbm
context_stack,qc_thesis.modeling.stacking.recipes,fpos_paired_context,contextual_paired_only_lightgbm
legacy_transfer,qc_thesis.modeling.recipes,fmiss_dummy,inductive|dummy|paired_mean|none
legacy_transfer,qc_thesis.modeling.recipes,fmiss_hybrid_only,inductive|hybrid_only|xgboost|unit_raw
legacy_transfer,qc_thesis.modeling.recipes,fmiss_paired_raw,inductive|paired_only|xgboost|shape_only
legacy_transfer,qc_thesis.modeling.recipes,fpos_dummy,inductive|dummy|paired_mean|none
legacy_transfer,qc_thesis.modeling.recipes,fpos_hybrid_only,inductive|hybrid_only|xgboost|unit_raw
legacy_transfer,qc_thesis.modeling.recipes,fpos_paired_raw,inductive|paired_only|lightgbm|unit_raw
waveform_stack,qc_thesis.modeling.stacking.recipes,fpos_waveform_winner,wf_embed_anchor_stack_xgboost
