seed,r2_raw,r2_waveform,r2_pre_waveform,r2_context,delta_r2_waveform_minus_raw,winner_label,winner_r2,true_mean,true_std,true_iqr,share__PAIRED_BOYDEN,share__PAIRED_CRCNS_HC1,share__PAIRED_ENGLISH,share__PAIRED_KAMPFF,share__PAIRED_MEA64C_YGER,rows__PAIRED_BOYDEN,rows__PAIRED_CRCNS_HC1,rows__PAIRED_ENGLISH,rows__PAIRED_KAMPFF,rows__PAIRED_MEA64C_YGER,dominant_family,winner_group
42,0.4996046575052398,0.5331891877732409,0.501473465085337,0.4674576308734588,0.03358453026800107,Waveform-augmented structure,0.5331891877732409,0.220909965580057,0.2476689362291873,0.2720178679251231,0.21,0.09,0.44,0.06,0.2,21.0,9.0,44.0,6.0,20.0,ENGLISH,Waveform-augmented structure
43,0.5321048705552389,0.3589593281336631,0.3886055539549707,0.339536068501603,-0.17314554242157582,Paired-only raw,0.5321048705552389,0.2363272301936544,0.2525217787144218,0.3399996018020826,0.05,0.14,0.53,0.12,0.16,5.0,14.0,53.0,12.0,16.0,ENGLISH,Paired-only raw
44,0.4804857089511817,0.120366624120307,0.2062154686898883,0.5010120715666344,-0.3601190848308747,Paired-only context,0.5010120715666344,0.2080523451938414,0.2516614519269556,0.2795480289698538,0.22,0.16,0.39,0.06,0.17,22.0,16.0,39.0,6.0,17.0,ENGLISH,Other winner
45,0.4521450846787912,0.6854617076885421,0.6815846729422548,0.5290257424488711,0.23331662300975087,Waveform-augmented structure,0.6854617076885421,0.2402601515023915,0.2582607048745536,0.261166843085718,0.1,0.14,0.39,0.18,0.19,10.0,14.0,39.0,18.0,19.0,ENGLISH,Waveform-augmented structure
46,0.4558515739024061,0.3911005764761319,0.3986189787816317,0.3239873285145337,-0.06475099742627421,Paired-only raw,0.4558515739024061,0.2227176341438448,0.2547772277140275,0.3245041246320019,0.16,0.15,0.5,0.0,0.19,16.0,15.0,50.0,0.0,19.0,ENGLISH,Paired-only raw
47,0.5250464800001344,0.6262200738710451,0.5845850652464166,0.6234375745367648,0.10117359387091063,Waveform-augmented structure,0.6262200738710451,0.2463092978463426,0.2395723708146978,0.3013724306607264,0.26,0.01,0.48,0.17,0.08,26.0,1.0,48.0,17.0,8.0,ENGLISH,Waveform-augmented structure
48,0.2407752198032947,0.4174164595578427,0.4510383430226587,0.4467901092856469,0.17664123975454799,Pre-waveform unlabeled structure,0.4510383430226587,0.1888570087319243,0.219310930640317,0.2617666369649071,0.22,0.16,0.25,0.12,0.25,22.0,16.0,25.0,12.0,25.0,ENGLISH,Other winner
49,0.5645117611346726,0.2512011428580648,0.3095210088015286,0.4163795480996348,-0.31331061827660783,Paired-only raw,0.5645117611346726,0.2736039669114713,0.2581939481808349,0.3489227263761255,0.15,0.07,0.44,0.17,0.17,15.0,7.0,44.0,17.0,17.0,ENGLISH,Paired-only raw
50,0.5632329574185586,0.5776159059988552,0.6069352685466369,0.3706174469607798,0.01438294858029654,Pre-waveform unlabeled structure,0.6069352685466369,0.2135990125338626,0.2415833526129867,0.3076877959514087,0.16,0.08,0.34,0.17,0.25,16.0,8.0,34.0,17.0,25.0,ENGLISH,Other winner
51,0.1575297970706456,0.0894898377213136,0.1055725209170755,0.1965045249060367,-0.068039959349332,Context-first source stack,0.2115448511433497,0.275429613484457,0.2721113729177355,0.3640179151110779,0.1,0.08,0.47,0.24,0.11,10.0,8.0,47.0,24.0,11.0,ENGLISH,Other winner
52,0.3695406768448592,0.3247217456370342,0.3542519150523399,0.3198703913746427,-0.044818931207824986,Context-first source stack,0.3878173916465144,0.2565816200840887,0.2554464144808257,0.3260019286807896,0.15,0.08,0.34,0.23,0.2,15.0,8.0,34.0,23.0,20.0,ENGLISH,Other winner
53,0.4885515276215902,0.5483733097949484,0.5585510234059661,0.4999993739939151,0.05982178217335815,Pre-waveform unlabeled structure,0.5585510234059661,0.2113117787173587,0.248112869714375,0.2731080172256944,0.17,0.0,0.52,0.23,0.08,17.0,0.0,52.0,23.0,8.0,ENGLISH,Other winner
54,0.3330734377844293,0.3054591906372145,0.3469205556407974,0.5221100307662857,-0.027614247147214832,Paired-only context,0.5221100307662857,0.2340265183304905,0.2516532857890055,0.2864489386556252,0.21,0.08,0.35,0.11,0.25,21.0,8.0,35.0,11.0,25.0,ENGLISH,Other winner
55,0.2713182871663272,0.3723377696272144,0.3135808979998865,0.1974430460028284,0.10101948246088716,Waveform-augmented structure,0.3723377696272144,0.2221231676876266,0.2424631732212717,0.3052030691729963,0.05,0.14,0.5,0.23,0.08,5.0,14.0,50.0,23.0,8.0,ENGLISH,Waveform-augmented structure
56,0.4123614601574248,0.3929805546241595,0.4491581347776286,0.4275165533262703,-0.019380905533265325,Pre-waveform unlabeled structure,0.4491581347776286,0.2888352492113017,0.2571756986434407,0.3434642417267206,0.21,0.15,0.48,0.0,0.16,21.0,15.0,48.0,0.0,16.0,ENGLISH,Other winner
57,0.4065096992629449,0.3453602760363348,0.3269912537669344,0.2719504434929246,-0.0611494232266101,Context-first source stack,0.4278347281673006,0.1964314335603513,0.2411153989090414,0.2872692896761272,0.0,0.15,0.39,0.18,0.28,0.0,15.0,39.0,18.0,28.0,ENGLISH,Other winner
58,0.3280122778831849,-0.0718189042250809,0.0258920223283308,0.3201723585420419,-0.3998311821082658,Paired-only raw,0.3280122778831849,0.1861907360509773,0.2083484925966628,0.2523645422731353,0.26,0.0,0.46,0.11,0.17,26.0,0.0,46.0,11.0,17.0,ENGLISH,Paired-only raw
59,0.3914261671353292,0.4886974343223716,0.4413277193933985,0.4603448861484229,0.09727126718704243,Context-first source stack,0.6006397425828882,0.1818691257454046,0.2148569454377726,0.2170415406508879,0.21,0.22,0.09,0.12,0.36,21.0,22.0,9.0,12.0,36.0,MEA64C_YGER,Other winner
60,0.4710450567246659,0.4985657916112428,0.5025046371308155,0.5665979365392098,0.027520734886576914,Paired-only context,0.5665979365392098,0.2287762467741829,0.2360205585585569,0.3224938558291281,0.05,0.21,0.29,0.29,0.16,5.0,21.0,29.0,29.0,16.0,ENGLISH,Other winner
61,0.4744891046663637,0.556409926031151,0.5819106067443232,0.5743359873168954,0.08192082136478734,Pre-waveform unlabeled structure,0.5819106067443232,0.2087649364484345,0.2362117398136104,0.2681313465880358,0.11,0.07,0.37,0.18,0.27,11.0,7.0,37.0,18.0,27.0,ENGLISH,Other winner
