held_out_family,variant_id,mae,r2,bias,n_test_rows,n_test_recordings,pseudo_rows
PAIRED_BOYDEN,reference_anchor_stack_xgboost,0.0747218758155893,0.2939883974406045,-0.0031181543850085,43,4,193
PAIRED_CRCNS_HC1,reference_anchor_stack_xgboost,0.1672099403916532,0.5382206314453812,-0.0645179554300432,22,4,256
PAIRED_ENGLISH,reference_anchor_stack_xgboost,0.1856878948909339,0.351365794071245,-0.00976811042681,71,13,204
PAIRED_KAMPFF,reference_anchor_stack_xgboost,0.1313043795635729,0.546858025438618,0.0678752559711882,35,4,213
PAIRED_MEA64C_YGER,reference_anchor_stack_xgboost,0.0683494924183047,0.5331855803545946,0.0373291899129528,36,4,182
PAIRED_BOYDEN,wf_embed_anchor_stack_xgboost,0.0751308397225266,0.1481785112294176,0.0113038160468792,43,4,193
PAIRED_CRCNS_HC1,wf_embed_anchor_stack_xgboost,0.1788382477446699,0.4833171886525726,-0.0743580715041826,22,4,256
PAIRED_ENGLISH,wf_embed_anchor_stack_xgboost,0.1804566267244187,0.3624835100537141,0.0182546675706719,71,13,204
PAIRED_KAMPFF,wf_embed_anchor_stack_xgboost,0.1019931834832969,0.6951835097340692,0.0421959837708081,35,4,213
PAIRED_MEA64C_YGER,wf_embed_anchor_stack_xgboost,0.0745283853737148,0.503675475647728,0.0372974857522575,36,4,182
