label,recipe_id,mae,rmse,r2,bias,calibration_slope,notes,protocol,phase,split_id,protocol_mode,candidate_id,target,source_target,feature_view,model_family,model_name,is_ceiling_model,source_label_rows,target_label_rows,target_eval_rows,target_unlabeled_rows,used_unlabeled_paired,calibration_intercept,variant_id,family,backend
Dummy paired mean,fmiss_dummy,0.2572313193583584,0.2901308455060516,-0.0032633326895263,0.0165469177968699,0.0,Sanity floor,recording_disjoint_main,final_holdout,final_holdout,inductive,inductive|dummy|paired_mean|none,fmiss,fmiss_extended,none,dummy,paired_mean,False,0.0,107.0,100.0,0.0,False,0.2775219347791612,,,
Paired-only raw,fmiss_paired_raw,0.2535651137275111,0.3461556058884071,-0.428137000797623,-0.1322761019249551,0.0181338945193729,Strict paired-only baseline,recording_disjoint_main,final_holdout,final_holdout,inductive,inductive|paired_only|xgboost|shape_only,fmiss,fmiss_extended,shape_only,paired_only,xgboost,False,0.0,107.0,100.0,0.0,False,0.2748880621668045,,,
Hybrid-only XGBoost,fmiss_hybrid_only,0.298048929827057,0.4002707349192469,-0.909566599848776,0.2160844215226516,0.3883327263138437,Pure source failure baseline,recording_disjoint_main,final_holdout,final_holdout,inductive,inductive|hybrid_only|xgboost|unit_raw,fmiss,fmiss_extended,unit_raw,hybrid_only,xgboost,False,24211.0,107.0,100.0,0.0,False,0.0858384327106357,,,
Calibrated hybrid,fmiss_hybrid_calibrated,0.2278516950309322,0.2668187733540977,0.1514842673430694,0.0076351008425977,1.9100499237061923,Simple calibrated transfer,recording_disjoint_main,final_holdout,final_holdout,inductive,inductive|hybrid_calibrated|lightgbm+linear|unit_raw,fmiss,fmiss_extended,unit_raw,hybrid_calibrated,lightgbm+linear,False,24211.0,107.0,100.0,0.0,False,-0.2671422393544629,,,
Hybrid stack residual,fmiss_hybrid_residual,0.1941072039347568,0.2569972438412862,0.2128018510672241,0.005638076968308,0.7232603644691691,First positive transfer baseline,recording_disjoint_main,final_holdout,final_holdout,inductive,inductive|hybrid_stack|lightgbm_residual|unit_raw,fmiss,fmiss_extended,unit_raw,hybrid_stack,lightgbm_residual,False,24211.0,107.0,100.0,0.0,False,0.0727235214795922,,,
Paired-only context,fmiss_paired_context,0.1658538567297269,0.2213955611171746,0.4157954285045185,-0.0144260740045324,0.9488460929743954,Context-only target baseline,recording_disjoint_main,,,,,fmiss,,,,,,,,,,,0.0278844552054193,contextual_paired_only_lightgbm,baseline,lightgbm
Source-reweighted full context,fmiss_source_reweighted,0.1623065410661969,0.2200902136669922,0.4226640561330392,-0.0201034385662392,0.941516588533836,Source-weighted context-first stack,recording_disjoint_main,,,,,fmiss,fmiss_extended,,,,,,,,,,0.0351581503992607,source_reweighted_fullctx_lightgbm,source_reweighted_stack,lightgbm
Embed-nommd full context,fmiss_embed_nommd,0.1578754817407638,0.2132432658065011,0.4580268359886053,-0.0203796632143534,1.0343056443280083,Full latent context-first stack,recording_disjoint_main,,,,,fmiss,fmiss_extended,,,,,,,,,,0.0115582319043548,embed_nommd_fullctx_lightgbm,embedding_stack,lightgbm
Reduced-latent winner,fmiss_reduced_latent,0.1562251853783381,0.2078737386923164,0.4849772816217992,-0.0249633089800231,1.1105175645018788,Final `fmiss` winner,recording_disjoint_main,,,,,fmiss,fmiss_extended,,,,,,,,,,-0.002948855237239,source_plus_reduced_latent_fullctx_lightgbm,reduced_latent_stack,lightgbm
Transplanted `fpos` waveform recipe,fmiss_transplanted_fpos,0.1672667632478147,0.2277239044999126,0.3819204484943789,-0.0540386598834633,1.1493049501243378,Failed `fpos` transplant,recording_disjoint_main,,,,,fmiss,fmiss_extended,,,,,,,,,,0.0206715006715375,fmiss_wf_embed_anchor_stack_xgboost,fmiss_waveform_transfer,xgboost_default
